question,skill,role
What Are the Different Types of Machine Learning?,Machine Learning Basics,Machine Learning Engineer
"What is Overfitting, and How Can You Avoid It?",Model Evaluation,AI Engineer
"What is ‘training Set’ and ‘test Set’ in a Machine Learning Model? How Much Data Will You Allocate for Your Training, Validation, and Test Sets?",Data Handling,Machine Learning Engineer
How Do You Handle Missing or Corrupted Data in a Dataset?,Data Handling,Data Scientist
How Can You Choose a Classifier Based on a Training Set Data Size?,Data Handling,Machine Learning Engineer
Explain the Confusion Matrix with Respect to Machine Learning Algorithms.,Machine Learning Basics,Machine Learning Engineer
What Is a False Positive and False Negative and How Are They Significant?,General ML Knowledge,AI Engineer
What Are the Three Stages of Building a Model in Machine Learning?,Model Selection,Machine Learning Engineer
What is Deep Learning?,General ML Knowledge,AI Engineer
What Are the Differences Between Machine Learning and Deep Learning?,Machine Learning Basics,Machine Learning Engineer
What Are the Applications of Supervised Machine Learning in Modern Businesses?,Machine Learning Basics,Machine Learning Engineer
What is Semi-supervised Machine Learning?,Machine Learning Basics,Machine Learning Engineer
What Are Unsupervised Machine Learning Techniques?,Machine Learning Basics,Machine Learning Engineer
What is the Difference Between Supervised and Unsupervised Machine Learning?,Machine Learning Basics,Machine Learning Engineer
What is the Difference Between Inductive Machine Learning and Deductive Machine Learning?,Machine Learning Basics,Machine Learning Engineer
Compare K-means and KNN Algorithms.,General ML Knowledge,AI Engineer
When Will You Use Classification over Regression?,Predictive Modeling,Machine Learning Engineer
What is randonm forest and how can you differentiate with other classification algorithm,Predictive Modeling,AI Engineer
What is Clustering?,General ML Knowledge,AI Engineer
What are Recommender Systems?,General ML Knowledge,AI Engineer
What are Parametric and Non-Parametric Models?,Model Selection,Machine Learning Engineer
What is Reinforcement Learning?,General ML Knowledge,AI Engineer
What is Time series?,General ML Knowledge,AI Engineer
How Do You Design an Email Spam Filter?,General ML Knowledge,AI Engineer
"Considering a Long List of Machine Learning Algorithms, given a Data Set, How Do You Decide Which One to Use?",Data Handling,Machine Learning Engineer
What is Bias and Variance in a Machine Learning Model?,Model Selection,Machine Learning Engineer
What is the Trade-off Between Bias and Variance?,General ML Knowledge,AI Engineer
What is Collaborative Filtering?,General ML Knowledge,AI Engineer
What is Content-Based Filtering?,General ML Knowledge,AI Engineer
How can you select K for K-means Clustering?,General ML Knowledge,AI Engineer
How do check the Normality of a dataset?,Data Handling,Data Scientist
Can logistic regression use for more than 2 classes?,Predictive Modeling,Machine Learning Engineer
Explain Correlation and Covariance?,General ML Knowledge,AI Engineer
What is P-value?,General ML Knowledge,AI Engineer
Difference Between Sigmoid and Softmax functions?,General ML Knowledge,AI Engineer
What is PCA and how do to use it?,Feature Engineering,Machine Learning Engineer
What are Loss Function and Cost Functions? Explain the key Difference Between them?,General ML Knowledge,AI Engineer
How do you make sure which Machine Learning Algorithm to use?,Machine Learning Basics,Machine Learning Engineer
How to Handle Outlier Values?,General ML Knowledge,AI Engineer
How do check the Normality of a dataset?,Data Handling,Data Scientist
What is P-value?,General ML Knowledge,AI Engineer
Difference Between Sigmoid and Softmax functions?,General ML Knowledge,AI Engineer
How to Tackle Overfitting and Underfitting?,Model Evaluation,AI Engineer
What is Entropy in Machine Learning?,Machine Learning Basics,Machine Learning Engineer
What is Epoch in Machine Learning?,Machine Learning Basics,Machine Learning Engineer
What is the Variance Inflation Factor?,General ML Knowledge,AI Engineer
What is a Confusion Matrix?,General ML Knowledge,AI Engineer
Explain the difference between KNN and K-means Clustering,General ML Knowledge,AI Engineer
What is the difference between stochastic gradient descent (SGD) and gradient descent (GD)?,General ML Knowledge,AI Engineer
What is the difference between regularization and normalisation?,General ML Knowledge,AI Engineer
What are Type I and Type II Errors?,General ML Knowledge,AI Engineer
When should Classification be used over Regression?,Predictive Modeling,Machine Learning Engineer
Why is rotation required in PCA? What will happen if the components are not rotated?,Feature Engineering,Machine Learning Engineer
What is ROC Curve and what does it represent?,General ML Knowledge,AI Engineer
Why are Validation and Test Datasets Needed?,Data Handling,Data Scientist
What is Dimensionality Reduction?,General ML Knowledge,AI Engineer
"Both being Tree-based Algorithms, how is Random Forest different from Gradient Boosting Machine (GBM)?",General ML Knowledge,Machine Learning Engineer
What is meant by Parametric and Non-parametric Models?,Model Selection,Machine Learning Engineer
"In Machine Learning, for how many classes can Logistic Regression be used?",Machine Learning Basics,Machine Learning Engineer
What are the Various Tests for Checking the Normality of a Dataset?,Data Handling,Data Scientist
